,comments,clean_comments,prediction
8233,"Die sind so lecker! noch nie so gute vegane Wurst gegessen. Als ich von vegetarisch auf vegan umstieg, habe ich eure Wurst so vermisst. Jetzt habe ich sie endlich habe mich heute so gefreut beim Essen.. direkt die ganze Packung verputzt","leck ! nie gut vegan wurst gegess . vegetar vegan umstieg , wurst vermisst . endlich heut gefreut beim ess .. direkt ganz packung verputzt",1
8238,"Gestern das erste mal gegessen und ich war sofort verliebt, genau wie in all eure anderen vegetarischen/veganen Produkte  keine bekommt es so lecker hin wie ihr  Ich würde mich über vegetarische Kochschinken irgendwann mal sehr freuen ^^. Macht weiter so, denn eure Produkte sind Weltklasse!!","gest erst gegess sofort verliebt , genau all vegetarischen/vegan produkt bekommt leck vegetar kochschink irgendwann sehr freu ^^ . macht , produkt weltklass ! !",1
8239,ich freu mich soooo darauf!!! ich bin kein veganer aber ich warte schon ewig darauf!!! perfekt. so kann man wurst ohne schlechtes Gewissen essen ,freu soooo darauf ! ! ! vegan wart schon ewig darauf ! ! ! perfekt . wurst schlecht gewiss ess,1
8240,Genial dass ihr nun auch vegane Wurstalternativen - sogar ohne Soja - macht ! mehr davon bitte ! ,genial vegan wurstalternativ - sogar soja - macht ! mehr davon bitt !,1
8243,Habe mir die veganen Schinkenspicker von euch geholt und die schmecken soo gut  habt ihr sehr gut hinbekommen. Sogar meine nicht-veganen Angehörigen finden sie lecker,vegan schinkenspick geholt schmeck soo gut habt sehr gut hinbekomm . sogar nicht-vegan angehor find leck,1
8245,Bitte bitte mehr vegane Produkte,bitt bitt mehr vegan produkt,1
8247,Die hab ich heute gekauft.. Ich glaube das war die beste vegane Wurst die ich bisher gegessen habe .. Macht weiter so,heut gekauft .. glaub best vegan wurst bish gegess .. macht,1
8254,Jaa wirklich sehr lecker mehr vegan ohne Soja  aber bitte eine gerade Anzahl an Scheiben in die Packung machen. Ich möchte nicht jedes mal eine neue aufmachen müssen weil nur noch 1 Scheibe über ist.. #doofeverkaufsstrategie ,jaa wirklich sehr leck mehr vegan soja bitt gerad anzahl scheib packung . mocht nicht neu aufmach muss 1 scheib .. # doofeverkaufsstrategi,1
8257,"Danke für Eure Arbeit, wahnsinnig gut gelungen! Ich hoffe, dass das Feedback in den Social Media auch in die oberen Etagen geleitet wird, damit die vegane Sparte weiter ausgebaut wird ","dank arbeit , wahnsinn gut gelung ! hoff , feedback social media ober etag geleitet , vegan spart ausgebaut",1
8261,"Ich muss euch ein Lob aussprechen. Der vegetarische Schinkenspicker ist ja schon sau lecker, aber der vegane Toppt alles. Richtig richtig gut, weiter so bitte ","lob aussprech . vegetar schinkenspick ja schon sau leck , vegan toppt . richtig richtig gut , bitt",1
8268,Eeeeeeeendlich!!!!! Wie wärs wenn alle Produkte gleich vegan sind und nicht vegetarisch. :),eeeeeeeendlich ! ! ! ! ! war produkt gleich vegan nicht vegetar . : ),0
8272,"Finde es so toll, wie sehr die Nachfrage nach veganen Produkten steigt. Bald will hoffentlich niemand mehr Fleisch, wenn die Menschen sehen, dass man dasselbe Produkt genauso lecker auch OHNE Fleisch herstellen kann ","find toll , sehr nachfrag vegan produkt steigt . bald hoffent niemand mehr fleisch , mensch seh , produkt genauso leck fleisch herstell",1
8274,Richtig geil!!! Mega gut dass ihr vegane Produkte macht. Bald bitte nur noch vegan und keine Produkte aus Leichen bitte,richtig geil ! ! ! mega gut vegan produkt macht . bald bitt vegan produkt leich bitt,1
8279,oh hoffentlich bald auch bei uns! ich fand die vegetarische so gut (vor ca drei jahren) und würde mich sehr über diesen geschmack (in vegan) freuen ,oh hoffent bald ! fand vegetar gut ( ca drei jahr ) sehr geschmack ( vegan ) freu,1
8282,Mehr vegan stuff,mehr vegan stuff,1
8286,"Gestern das erste Mal probiert und schon ist die erste Packung leer. Super lecker, ich freu mich schon darauf wenn die restlichen vegetarischen Produkte auch auf vegan umgestellt werden. ","gest erst probiert schon erst packung leer . sup leck , freu schon darauf restlich vegetar produkt vegan umgestellt .",1
8288,"super lecker, macht den Rest sich vegan ","sup leck , macht rest vegan",1
8291,Omg ... wie geil ist das denn bitte?  wenn jetzt noch eine vegane mit Schnittlauch kommt meine große gar nicht mehr vom Kühlschrank weg  ich liebe eure veganen Produkte,omg ... geil bitt ? vegan schnittlauch kommt gross gar nicht mehr kuhlschrank lieb vegan produkt,1
8295,Ich habe ihn heute im Rewe bei uns entdeckt und habe mich SO gefreut das es nun endlich einem veganen Aufschnitt von euch gibt! Wirklich ganz ganz toll! Freue mich schon total ihn am Wochenende zu testen!  weiter so!,heut rew entdeckt gefreut endlich vegan aufschnitt gibt ! wirklich ganz ganz toll ! freu schon total wochen test ! !,1
8298,Super toll alle veganen produkte von euch kaufe ich gern sind ihr geld aufjedenfall wert ,sup toll vegan produkt kauf gern geld aufjedenfall wert,1
8303,"werdet ihr auch noch eine vegane Salami Art raus bringen? die vegetarische ist schon klasse, aber vegan ist immer besser ","werdet vegan salami art raus bring ? vegetar schon klass , vegan imm bess",1
8307,#veganwerdenwaslosdigga xD geil,# veganwerdenwaslosdigga xd geil,1
8337,Noch eine Idee: vegane Frikadellen,ide : vegan frikadell,1
8344,Hi ich würde mich über vegane bock würstchen,hi vegan bock wurstch,1
8349,Etwas das schmeckt wie Kochschinken . Endlich wieder Spargel mit Schinken. Toast Hawaii. Und einfach für auf's Brot. Das wäre so wundervoll . Aber es wird wohl vegane Schinkenwurst. Für die Veganer freue ich mich dennoch. Ich liebe eure Veggie-Schinkenwurst ,schmeckt kochschink . endlich spargel schink . toast hawaii . einfach 's brot . war wundervoll . wohl vegan schinkenwurst . vegan freu dennoch . lieb veggie-schinkenwurst,1
8351,Den schinkenspicker gibt's jetzt endlich in vegan? Ja wie geil! Der muss direkt probiert werden.,schinkenspick gibt 's endlich vegan ? ja geil ! direkt probiert .,1
8354,Ich würde mich total über vegetarischen oder gar veganen Kochschinken oder kleine Schinkenwürfel freuen. Dann würde mir nichts mehr fehlen.,total vegetar gar vegan kochschink klein schinkenwurfel freu . nicht mehr fehl .,1
8358,Ich würde mich total freuen wenn es vegane Salami wäre,total freu vegan salami war,1
8359,"Oh, wie geil. Endlich veganer Aufschnitt! <3 Fehlt nur noch die Salami, dann brauche ich nichts anderes mehr im Leben. :D","oh , geil . endlich vegan aufschnitt ! < 3 fehlt salami , brauch nicht mehr leb . : d",1
8361,"Eeeeeeendliiiiiich! Ich hab soooo sehnlichst auf den veganen Schinkenspicker gewartet! Ich bin ein riesiger Fan eurer Produkte & den vegetarischen Spicker hab ich sooooo geliebt. Seit ich vegan bin, kam bislang leider kein Aufschnitt an euren heran! Vielen Dank! Ich freu mich soooo sehr drauf Jetzt fehlt mir nur noch eine vegane Variante der Wiener Würstchen, dann bin ich im 7. Fleischersatzhimmel","eeeeeeendliiiiiich ! soooo sehnlich vegan schinkenspick gewartet ! riesig fan produkt & vegetar spick sooooo geliebt . seit vegan , kam bislang leid aufschnitt heran ! viel dank ! freu soooo sehr drauf fehlt vegan variant wien wurstch , 7 . fleischersatzhimmel",1
8369,Seid ihr echt endlich vegan geworden mit den Nuggets? ,seid echt endlich vegan geword nugget ?,1
8371,Gab’s gestern Abend erst  Bei uns im Haushalt definitiv Nummer eins unter den vegetarischen & veganen Produkten.. hoffe es kommt bald noch mehr von euch auf den Markt ,gab ’ s gest abend erst haushalt definitiv numm ein vegetar & vegan produkt .. hoff kommt bald mehr markt,1
